Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce ciboulette;Pommes paillasson;Gouda;Pêche
Concombre vinaigrette au miel;Poisson du marché sauce ciboulette;Semoule;Chamois d'or;Eclair au chocolat
Velouté de champignons;Poisson du marché sauce ciboulette;Semoule / Salade vinaigrette;Yaourt nature sucré;
Velouté de potiron aux marrons;Poisson du marché sauce ciboulette;Petits pois fermière;;Cake aux châtaignes
Carottes râpées vinaigrette;Poisson du marché sauce ciboulette;Riz créole;Saint Nectaire;Glace vanille
Salade et Cheddar;Poisson du marché sauce ciboulette;Carottes;;Gâteau de quinoa aux poires et noisettes
;Poisson du marché sauce courgette;Riz;Camembert;Abricots
;Poisson du marché sauce courgette;Semoule;Saint Nectaire;Pomme
;Poisson du marché sauce courgette;Semoule;Emmental;Raisin
Tomate vinaigrette et maïs;Poisson du marché sauce courgette;Riz aux petits légumes;Yaourt aux fruits mixés;
Melon;Poisson du marché sauce crème;"Pomme ""paillasson""";Camembert;Nectarine
Melon;Poisson du marché sauce crème;"Pommes ""Paillasson""";Saint-Moret;Pêche
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce crème;Coquillettes;Coulommiers;Ananas
Concombre vinaigrette à la ciboulette;Poisson du marché sauce crème;Rostis de légumes;;Fromage blanc sucré
Avocat vinaigrette crémeuse;Poisson du marché sauce crème;Haricots verts;Emmental;Eclair chocolaté
;Poisson du marché sauce crème;Tortis;Yaourt aux fruits mixés;Clémentine
Carottes râpées;Poisson du marché sauce crème;Penne;Yaourt nature brassé et coulis de fruits rouges;
Tomate vinaigrette;Poisson du marché sauce crustacés;Purée de chou-fleur et pommes de terre;Camembert;Cake nature et crème de marron
Velouté Dubarry;Poisson du marché sauce crustacés;Pommes paillasson;Saint-Nectaire;Kaki
Salade de concombre, tomates et œuf dur;Poisson du marché sauce crustacés;Riz;Yaourt framboise;
Coleslaw sauce cocktail;Poisson du marché sauce Cubaine;Purée de brocolis;Yaourt vanille;
;Poisson du marché sauce cubaine;Tortis;Gouda;Poire
Tomates vinaigrette;Poisson du marché sauce épices douces;Purée de pommes de terre à la noix de muscade;Yaourt Vrai vanille;
Radis pink meat et carottes râpées vinaigrette;Poisson du marché sauce espagnole;Petits pois et mélange 5 céréales;Yaourt nature sucré Le P'tit Gallo;Boudoirs
Salade et dés de mimolette;Poisson du marché sauce Marseillaise;Semoule;Fromage blanc sucré;Coulis de fruits rouges
Concombres à la bulgare;Poisson du marché sauce persane;Semoule;Tomme noire;Lacté vanille
Carottes râpées vinaigrette;Poisson du marché sauce persane;Riz;Saint Nectaire;Glace
Tomates vinaigrette;Poisson du marché sauce persane;Pommes paillasson;Gouda;Poire
Carottes râpées à la passion;Poisson du marché sauce persane;Coquillettes;Crème Malo au chocolat;Banane
Tomates vinaigrette basilic;Poisson du marché sauce persane;Spirales tricolores;Fromage blanc à la vanille;Poire
Pastèque;Poisson du marché sauce persane;Tortis;Carré;Ménélik
Concombres à la bulgare;Poisson du marché sauce persane;Semoule;Tomme noire;Lacté vanille
Nem de légumes;Poisson du marché sauce persane;Semoule;Carré;Banane
Carottes râpées et mozzarella;Poisson du marché sauce persane;Haricots verts;;Tarte au chocolat
Nem de légumes;Poisson du marché sauce persane;Riz cantonais;Carré;Banane
Pastèque;Poisson du marché sauce persane;Carottes;;Semoule au lait
Carottes râpées à l'orange;Poisson du marché sauce persane;Rösti aux légumes;Coulommiers;Clémentine
Concombre et pommes Granny;Poisson du marché sauce persane;Brunoise de légumes et blé;;Yaourt aromatisé
Carottes râpées vinaigrette;Poisson du marché sauce persane;Semoule;Yaourt à boire à la fraise;Pomme
Tartine thon-ciboulette;Poisson du marché sauce persane;Pomme smile;Gouda;Mousse au chocolat
Mâche et rillettes de thon;Poisson du marché sauce persane;Brunoise de légumes /Semoule;Pointe de brie;Purée pomme-coing
Salade Coleslaw;Poisson du marché sauce persane;Boulgour;Fromage blanc;
;Poisson du marché sauce portugaise;Pomme smile;Coulommiers;Poire Bio
Carottes râpées et céleri  vinaigrette;Poisson du marché sauce portuguaise;Riz aux petits légumes;Yaourt vanille;
Concombre sauce fromage blanc;Poisson du marché sauce portuguaise;Pommes paillasson aux petits légumes;Yaourt nature sucré;
Carottes râpées et céleri  vinaigrette;Poisson du marché sauce portuguaise;Riz aux petits légumes;Yaourt vanille;
Potage de chou-fleur à la vanille;Poisson du marché sauce Portuguaise;Riz et salade vinaigrette;Yaourt aromatisé;
Concombre sauce fromage blanc, Rêve de Cochin;Poisson du marché sauce Portuguaise;Pommes de terre Bio et Ratatouille;Yaourt nature sucré;
Melon;Poisson du marché sauce provençale;Purée de courgette à l'huile d'olive;Yaourt nature sucré;
Melon;Poisson du marché sauce provençale;Purée de courgette à l'huile d'olive;Yaourt nature sucré;
Concombre sauce bulgare;Poisson du marché sauce provençale;Riz;Yaourt Malo vanille;
Rillettes de surimi Neptune et gressin;Poisson du marché sauce Retour des Indes;Carottes;Riz au lait;Petit Beurre
Carottes râpées vinaigrette à l'aneth;Poisson du marché sauce Retour des Indes;Semoule;Camembert;Pomme
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce Retour des Indes;Riz;Camembert;Brioche des rois
Tomate mozzarella;Poisson du marché sauce retour des indes;Carottes;;Tarte au chocolat
;Poisson du marché sauce Retour des Indes;Semoule;Petit roulé;Compote pomme-vanille
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce Retour des Indes;Pomme paillasson;Gouda;Raisin
Coleslaw sauce cocktail;Poisson du marché sauce Retour des Indes;Riz Bio Commerce Equitable;;Fromage blanc (seau)
Salade et dés d'emmental;Poisson du marché sauce retour des Indes;Semoule;Yaourt vanille;
;Poisson du marché sauce Retour des Indes;Tortis;Gouda;Pêche
;Poisson du marché sauce Retour des Indes;Semoule;Brie;Cerises
Tomate féta AOP;Poisson du marché sauce Retour des Indes;Carottes;;Crêpe
Salade Bio et dés de Cantal AOP;Poisson du marché sauce retour des Indes;Carottes;;Cake aux pépites de chocolat
Carottes râpées vinaigrette;Poisson du marché sauce Retour des Indes;Semoule;Camembert;Compote allégée de pomme-framboise
Carottes râpées vinaigrette;Poisson du marché sauce Retour des Indes;Semoule;Petit Malin aux fruits;Poire
Carottes râpées vinaigrette à l'orange et dés de mimolette;Poisson du marché sauce Retour des Indes;Riz;Yaourt nature sucré;
Melon;Poisson du marché sauce Retour des Indes;Brunoise de légumes et quinoa;Yaourt Vrai framboise;
Melon;Poisson du marché sauce Retour des Indes;Brunoise de légumes et quinoa;Yaourt Vrai framboise;
Carottes râpées vinaigrette;Poisson du marché sauce Retour des Indes;Riz;;Fromage frais aux fruits
Salade verte;Poisson du marché sauce Retour des Indes;Chou-fleur et pomme de terre au fromage fondu;Yaourt à la vanille;
Soupe de légumes et curcuma;Poisson du marché sauce Retour des Indes;Macaroni semi-complète;Port Salut;Orange
Concombre à la crème ail et persil;Poisson du marché sauce Retour des Indes;Riz;Yaourt nature brassé Les Vergers;
Velouté de courgettes;Poisson du marché sauce Retour des Indes;Semoule;Chaussée aux moines;Kiwi
Carottes râpées vinaigrette à l'orange;Poisson du marché sauce saté;Coquillettes;Saint-Moret;Pêche
Potage de brocolis;Poisson du marché sauce Saté;Semoule;Gouda;Compote allégée de pomme
;Poisson du marché sauce tomate épicée et patate douce;Riz;Yaourt à la vaille;Mangue
Salade verte et dés d'emmental;Poisson du marché sauce tomate et ail;Quinoa;Yaourt Malo vanille;
Soupe Dubarry;Poisson du marché sauce tomate, ail et oignons;Boulgour;Saint-Nectaire;Clémentine
Radis pink meat râpé;Poisson du marché sauce tomate, ail et oignons;Risotto;Yaourt saveur banane;
Champignons persillés et dés d'emmental;Poisson du marché sauce végétale au cerfeuil;Purée de pommes de terre;;yaourt brassé sucré
Tomates sauce ktipiti;Poisson du marché sauce vierge;Purée de courgettes à l'huile d'olive;Bûche mi-chèvre;Yaourt à la grecque au miel et aux amandes
Concombre vinaigrette;Poisson du marché sauce vierge;Purée de courgette à l'huile d'olive;;Yaourt aromatisé
Salade verte Bio et dés de mimolette;Poisson marée fraîche sauce Retour des Indes;Tortis Bio;;Yaourt aux fruits mixés
Œuf dur mayonnaise;Poisson meunière;Epinards / Pommes de terre;Bûche lait vache et chèvre;Kiwi
Carottes râpées vinaigrette;Poisson pané;Haricots beurre;Saint Paulin;Tarte au chocolat
Taboulé;Poisson pané;Carottes;Brie;Crème Malo au chocolat
Pastèque;Poisson pané;Haricots beurre;Brie;Flan nappé caramel
Carottes râpées vinaigrette;Poisson pané;Haricots verts;Petit Filou;Madeleine
Potage de légumes;Poisson pané;Gratin de chou-fleur;Vache Picon;Banane
Velouté de courgettes au fromage;Poisson pané;Jardinière de légumes;Yaourt aromatisé;Banane
Carottes râpées vinaigrette;Poisson pané;Gratin de chou-fleur;Entremet au chocolat;Palet Breton
Saucisson à l'ail;Poisson pané;Haricots beurre;Yaourt aromatisé;Banane
Taboulé;Poisson pané;Carottes;P'tit Louis;Pomme
Tartine surimi-paprika;Poisson pané;Haricots beurre;Edam;Banane
Melon;Poisson pané;Haricots verts;P'tit Louis tartine;Glace vanille-fraise
Velouté de potiron;Poisson pané;Jardinière de légumes;Rondelé nature;Flan nappé au caramel
Tartine thon-ciboulette;Poisson pané;Carottes;Fol Epi;Compote allégée de pommes-bananes
Œufs durs mayonnaise;Poisson pané;Chou-fleur béchamel;Rondelé;Raisin
Bouillon alphabet;Poisson pané;Carottes;Mimolette stick;Eclair au chocolat
Œufs durs mayonnaise;Poisson pané;Ratatouille;Carré;Beignet aux pommes
Potage de potiron;Poisson pané;Poêlée de légumes;Petit filou;Banane
Saucisson à l'ail;Poisson pané;Carottes en bâtonnet;Camembert;Lacté vanille
Tomate mozzarella;Poisson pané;Carottes;;Cake aux pépites de chocolat
Salade de coquillettes aux maquereaux;Poisson pané;Haricots verts;Carré;Nectarine
Tartine thon-ciboulette;Poisson pané;Gratin de brocolis/Pommes de terre;Emmental;Mousse au chocolat
Potage de potiron;Poisson pané;Gratin de chou-fleur;Camembert;Tarte au chocolat
Bouillon alphabet;Poisson pané;Haricots verts;Petit Filou;Banane
Carottes râpées à l'orange;Poisson pané;Petits pois;Edam;Tarte au chocolat
Tomates vinaigrette au basilic;Poisson pané;Petits pois;Brie;Gâteau au yaourt
Salade de pépinettes au pistou;Poisson pané;Carottes en bâtonnet;Coulommiers;"Fruit de saison ""Clémentine"""
Tomates vinaigrette à la ciboulette;Poisson pané;Purée de potiron;Yaourt aromatisé;Kiwi
Cake paprika-tomates-poivrons;Poisson pané;Haricots beurre;Brie;Flan nappé caramel
Melon;Poisson pané;Haricots verts;Yaourt Malo à la vanille;Biscuit Russe
Œufs durs mayonnaise;Poisson pané;Ratatouille;Yaourt aromatisé;Pomme
Tomate mozzarella;Poisson pané;Carottes;;Cake aux pépites de chocolat
Soupe froide de concombre;Poisson pané  (colin d'Alaska) sauce ketchup;Riz;Pont L'Evêque;Abricot
Soupe froide de concombre;Poisson pané  (colin d'Alaska) sauce ketchup;Riz;Pont L'Evêque;Abricot
Taboulé;Poisson pané et citron;Gratin de brocolis;Carré;Compote allégée de poires
Betteraves vinaigrette;Poisson pané et citron;Purée de carottes;Edam;Tarte banane-chocolat
Pastèque;Poisson pané et citron;Gratin de courgettes;Petit moulé;Tarte au chocolat
Tomates au basilic;Poisson pané et citron;Purée de potiron;Tomme noire;Far Breton aux pommes
Pastèque;Poisson pané et citron;Gratin de courgettes;Petit moulé;Tarte au chocolat
Salade coleslaw;Poisson pané et citron;Purée de carottes;Coulommiers;Flan caramel
Pépinettes au curry;Poisson pané et citron;Petits pois à l'étuvée;Vache Picon;Pêche
Velouté de potiron;Poisson pané sauce fromage blanc et épices;Riz;Saint-Nectaire;Poire
Taboulé;Poisson sauce romarin;Purée de potiron;Fromage frais sucré;
Œuf dur mayonnaise;Pommes de terre à la savoyarde;;P'tit malin aux fruits;Pomme
Velouté fermier;Pommes de terre au fromage à raclette;Salade verte;;Compote pomme-banane
Velouté de courgettes et fromage frais;Potée;;Port Salut;Kiwi
;Potée auvergnate;;Tomme de brebis;Poire
Carottes bâtonnets vinaigrette citron vert;Poulet kedjenou;Semoule;Cantal;Mangue
Samoussa;Poulet korma;Riz épicé;Vache Qui Rit;Mangue
Œuf dur mayonnaise;Poulet massala (garam masala, coco);Mélange 5 céréales;Tomme blanche;Prune
Salade Limao;Poulet Moamba;Riz;Fol Epi;Banane sauce chocolat
Velouté de légumes au curcuma;Poulet tikka massala;Riz;Vache Qui Rit;Crème mangue
Velouté de légumes au curcuma;Poulet tikka massala;Riz;Vache Qui Rit;Crème mangue
Carottes râpées vinaigrette miel gingembre;Poulet Tikka Massala;Riz;;Lassi mangue
Concombre sauce bulgare;Poulet Yassa;Semoule;Tomme noire;Compote allégée de pomme
Carottes râpées;Quenelle sauce tomate crémée et fromage râpé;Riz;Crème dessert au chocolat;
Carottes râpées vinaigrette à l'orange;Quiche au cheddar;;;Etremets mandarine et nougat
Potage Fermier;Quiche au Comté AOP et aux pommes de terre Bio;;;Clémentine
Potage fermier;Quiche au comté et aux pommes de terre;;;Clémentine
Salade verte;Quiche au fromage;Pâtes coquillages;Yaourt aux fruits mixés;
Salade Iceberg;Quiche au maroilles;;Yaourt nature sucré Vrai;Banane
Salade Iceberg et croûtons;Quiche au maroilles;;Yaourt Malo à la vanille;Banane
Salade Iceberg;Quiche au maroilles;;Yaourt nature sucré Vrai;Banane
Soupe de chicon;Quiche au maroilles;Salade Scarole;P'tit Louis;Compote de pomme et mini gaufre
;Quiche camembert et pommes de terre;;Yaourt vanille;Orange Global Gap
Salade verte vinaigrette;Quiche camembert et pommes de terre;;;Pomme au four
Betteraves vinaigrette;Ragout de bœuf antillais;Semoule;Fol Epi;Compote allégée pommes-ananas
;Ravioli;;;Compote de pomme et Sablé coco
;Ravioli;;;Compote de pommes et sablé coco
;Ravioli de bœuf;;Compote de pommes;Sablé coco
Salade Iceberg;Raviolis;;Fromage râpé;Compote allégée de pommes
Bouillon;Raviolis de volaille;;Gouda;Compote allégée de pommes
Bouillon aux vermicelles;Raviolis de volaille;;Compote allégée de pomme;Galettes Saint Michel
Repas de Noël;Repas de Noël;Repas de Noël;Repas de Noël;Repas de Noël
Repas de Noël;Repas de Noël;Repas de Noël;Repas de Noël;Repas de Noël
Salade Iceberg et emmental;Repas de Noël;;Rondelé nature;Flan nappé caramel
Repas de Noël des centres de loisirs;Repas de Noël des centres de loisirs;Repas de Noël des centres de loisirs;Repas de Noël des centres de loisirs;Repas de Noël des centres de loisirs
Tartine surimi-paprika;Rissolette de porc;Haricots verts;Saint Moret;Madeleine
;Riz Cantonnais (oeufs, riz, carottes, petits pois);;Yaourt nature sucré;Pomme
;Riz créole coco citron vert;;Carré;Banane
Soupe de pois cassés;Rôti de bœuf et ketchup;Petits pois;Coulommiers;Clémentine
Tartine de haricots blancs;"Rôti de bœuf et ketchup ""du Chef""";Jardinière de légumes;Coulommiers;Banane
Carottes râpées;Rôti de bœuf et ketchup du Chef;Macaronis et courgettes;Yaourt nature Vrai et madeleine;
;Rôti de bœuf sauce dijonnaise;Pommes noisettes;Petit suisse;Orange
Radis noir et carottes râpées vinaigrette;Rôti de dinde;Compote de pomme chaude;Emmental;Beignet au chocolat
Friand au fromage;Rôti de dinde;Purée de carottes;Yaourt Malo à la vanille;Abricots
Céleri râpé sauce cocktail;Rôti de dinde;Compote de pomme chaude;Edam;Madeleine
Salade de pâtes;Rôti de dinde;Compote de pommes;Emmental;Glace vanille-fraise
Carottes râpées vinaigrette;Rôti de dinde;Compote de pommes chaude;Emmental;Beignet au chocolat
Salade de perles au surimi;Rôti de dinde;Haricots verts;Gouda;Kiwi Gold
Cake tomate, féta, basilic aux graines de courges Bio;Rôti de dinde;Purée de courgettes à l'huile d'olive;P'tit Louis;Abricots
Crêpe jambon-fromage;Rôti de dinde;Compote de pomme chaude;Saint-Nectaire;Eclair au chocolat
Pâté Hénaff;Rôti de dinde;Poêlée de légumes du soleil;Vache Picon;Pêche gourmande
Betteraves vinaigrette;Rôti de dinde;Compote de pommes chaude;Edam;Eclair au chocolat
Rillettes de porc;Rôti de dinde;Petits pois;Yaourt Malo à la vanille;Pomme
Crêpe au fromage;Rôti de dinde;Compote de pomme;Saint-Paulin;Lacté vanille
Crêpe au fromage;Rôti de dinde;Compote de pomme;Rondelé ail&fines herbes;Lacté vanille
Rillettes de thon et gressin;Rôti de dinde;Haricots verts;Vache Picon;Banane
Tomates et dés de mozzarella;Rôti de dinde;Duo de courgettes, riz, béchamel au parmesan;;Cake aux pépites de chocolat
Œuf à la coque et mouillettes;Rôti de dinde;Chou-fleur béchamel;Gouda;Crème dessert chocolat
Velouté de potiron;Rôti de dinde;Petits pois;Fol Epi;Polenta crémeuse
Tartine surimi-paprika;Rôti de dinde;Compote de pommes chaude;Fol Epi;Liégeois au chocolat
Tartine surimi-paprika;Rôti de dinde;Compote de pommes;Fol Epi;Glace vanille-fraise
Rillettes de poulet Hénaff;Rôti de dinde;Chou-fleur béchamel;Gouda;Banane
Tomates et dés de mozzarella;Rôti de dinde;Duo de courgettes, riz, béchamel au parmesan;;Cake aux pépites de chocolat
Tomates et mozzarella vinaigrette à la ciboulette;Rôti de dinde;Pommes paillasson;;Cake à la crème de marron
Salade de coquillettes au thon;Rôti de dinde;Haricots verts;Mimolette;Banane
Salade de coquillettes au thon;Rôti de dinde;Brocolis béchamel;Emmental;poire
Salade de coquillettes au thon;Rôti de dinde;Haricots verts;Pointe de brie;Pomme
Carottes râpées vinaigrette;Rôti de dinde;Mélange 5 céréales;;Fromage frais sucré
Tartinade de haricots rouges épices mexicaines;Rôti de dinde;Poêlée de légumes;Saint-Paulin;Banane
Houmous (pois chiche);Rôti de dinde;Brocolis béchamel;Emmental;Banane
Cake salé à la farine de sarrasin sauce fromage blanc et fines herbes;Rôti de dinde;;Yaourt nature sucré Le P'tit Gallo;Raisin
